id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful,el_count,el_participation_binary
4361787,Health & Human Performance,Public Health,5/5/2023,Bachelors,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,University of Providence,Bachelors,Nursing Accelerated BSN,NA,NA,NA,NA,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement",Neutral,None of the experiential learning activities I participated in at UM were helpful.,3,1
4361788,Commun Sci & Disorders,NA,5/1/2025,Associates,College of Health,Female,Native American/Alaskan Native,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MONTANA STATE UNIVERSITY - BOZEMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361797,Commun Sci & Disorders,Environmental Studies,12/12/2014,Bachelors,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,PENINSULA COLLEGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361803,Public Administration,Political Science,5/3/2019,Bachelors,School of Law,Male,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,PURDUE UNIVERSITY - WEST LAFAYETTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361807,Pharm Sci and Drug Design,Pharmacy,5/13/2022,Doctorate,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,ROGUE COMMUNITY COLLEGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361812,Social Work,NA,5/1/2025,Bachelors,College of Health,Female,Latino(a),22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,SANTA ROSA JUNIOR COLLEGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361813,Curriculum & Instruction~Elementary Certification,Curriculum & Instruction,5/1/2026,Masters,College of Education,Male,NA,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,SOUTHERN NEW HAMPSHIRE- 09WEEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361815,History,NA,5/12/2023,Bachelors,College Humanities & Sciences,Female,Latino(a),22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361818,Sociology,General AA,5/13/2022,Associates,College Humanities & Sciences,Male,White/Caucasian,22-Aug,8/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Western Governors University - WGU,Masters,Masters in Teaching,NA,NA,NA,NA,NA,NA,This position meets my expectations,None of the above,NA,NA,0,0
4361819,Management Information Systems,General AA,11/25/2020,Associates,College of Business,Male,Black or African American,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,TENNESSEE TECHNOLOGICAL UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361820,Biology,NA,5/13/2022,Associates,College Humanities & Sciences,Male,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,TOURO UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361822,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/13/2022,Bachelors,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361839,Sociology,NA,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,TRIDENT TECHNICAL COLLEGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361841,Health & Human Performance~Psychology,Health & Human Performance,5/13/2022,Bachelors,College of Health,Female,NA,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIV OF ST. AUGUSTINE HLTH SCIENCES- DALLAS TEXAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361847,Business Administration,NA,5/12/2023,Masters,College of Business,Male,Latino(a),22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF ALASKA - FAIRBANKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
