id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful,el_count,el_participation_binary
4493079,Public Administration~Public Health,Public Administration,12/14/2018,Masters,School of Law,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493090,Integrative Physiology,NA,5/8/2020,Masters,College of Health,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493095,General AS,NA,5/1/2025,Bachelors,Missoula College,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493097,Neuroscience~Psychology,Neuroscience,5/12/2023,Bachelors,College Humanities & Sciences,Female,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,IDAHO STATE UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493098,Anthropology,NA,8/1/2014,Doctorate,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493118,Business Administration,NA,5/12/2023,Masters,College of Business,Male,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493124,Theatre,NA,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493134,Psychology~Pre-Medical Sciences,Psychology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493147,Health & Human Performance,NA,5/13/2022,Bachelors,College of Health,Female,Native American/Alaskan Native,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493154,Geosciences,NA,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493157,Sustainable Construction Tech~Carpentry,Sustainable Construction Tech,5/1/2026,Associates,Missoula College,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493159,Physical Therapy,NA,5/8/2020,Bachelors,College of Health,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493164,Public Health,NA,5/1/2027,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493175,Environmental Studies,Nat Resource Conflict Resolut,5/13/2022,Certificate,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493177,Sustainable Construction Tech~Carpentry,Sustainable Construction Tech,5/13/2022,Certificate,Missoula College,Male,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,CALIFORNIA STATE UNIVERSITY - CHICO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493193,General AA~Pre-Nursing,General AA,5/1/2026,Bachelors,Missoula College,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493194,Management & Entrepreneurship,NA,5/12/2023,Bachelors,College of Business,Male,Native American/Alaskan Native,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493199,Medical Laboratory Science,NA,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493216,Psychology,NA,5/10/2024,Bachelors,College Humanities & Sciences,Female,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,ARIZONA STATE UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493217,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Bachelors,College of Education,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,University of Montanaâ€š Missoula,Masters,Masters In Leadership,NA,NA,NA,NA,NA,NA,No opinion,"First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",1,1
4493238,Communication Studies~Health Communication,Communication Studies,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493243,Management & Entrepreneurship,NA,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493246,Psychology,NA,5/12/2023,Bachelors,College Humanities & Sciences,Male,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493259,Business Administration~Digital Marketing,Business Administration,5/1/2027,Masters,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493262,Registered Nursing,NA,5/1/2025,Bachelors,Missoula College,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493263,Anthropology,NA,5/12/2023,Masters,College Humanities & Sciences,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493269,Management & Entrepreneurship,NA,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493274,Communication Studies~Health Communication,Communication Studies,11/25/2020,Associates,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493278,General AS,NA,5/1/2026,Associates,Missoula College,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493279,Communication Studies,NA,5/10/2024,Bachelors,College Humanities & Sciences,Male,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493286,Management & Entrepreneurship~Entertainment Management,Management & Entrepreneurship,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493288,Health & Human Performance,NA,12/1/2022,Bachelors,College of Health,Male,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493296,History,NA,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493299,Business Administration,NA,5/1/2027,Masters,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493302,General AA,NA,5/1/2026,Bachelors,Missoula College,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493304,Resource Conservation,NA,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MINNESOTA STATE UNIVERSITY MOORHEAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493310,Integrative Physiology,NA,5/12/2023,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493312,Accounting,NA,5/12/2023,Masters,College of Business,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,University of Montanaâ€š Missoula,Masters,Master of Accountancy,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",3,1
4493316,Integrative Physiology,NA,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493317,English~Secondary Certification,English,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493319,Management & Entrepreneurship~Entertainment Management,Management & Entrepreneurship,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493320,Marketing,NA,12/1/2022,Bachelors,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493324,Psychology,Media Arts,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,University of Alaska System,Masters,Clinical Psychology,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement",3,1
4493327,Marketing,NA,5/10/2024,Bachelors,College of Business,Male,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493330,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/10/2024,Bachelors,College of Health,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493342,Marketing~Entertainment Management,Marketing,5/10/2024,Bachelors,College of Business,Male,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493349,Political Science~Pre-Law,Political Science,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493354,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Bachelors,College of Education,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493363,Public Administration~Political Science,Public Administration,5/1/2027,Masters,School of Law,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493373,Diesel Technology,Heavy Equipment Operation,5/8/2020,Certificate,Missoula College,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493374,Sociology,NA,5/10/2024,Bachelors,College Humanities & Sciences,Male,Black or African American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,GEORGE WASHINGTON UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493378,"Parks, Tourism &Rec Management",NA,5/12/2023,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493389,Psychology,NA,5/1/2026,Bachelors,College Humanities & Sciences,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493393,Management & Entrepreneurship,NA,5/12/2023,Bachelors,College of Business,Male,Black or African American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493396,Anthropology,NA,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,University of Montanaâ€š Missoula,Bachelors,Bachelor's in human biology,NA,NA,NA,NA,NA,NA,No opinion,None of the above,NA,NA,0,0
4493425,Integrative Physiology,NA,5/12/2023,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493426,Psychology,NA,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493432,Radiologic Technology,NA,5/1/2025,Bachelors,Missoula College,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493436,Computer Science,NA,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MARYVILLE UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493443,Curriculum & Instruction,NA,5/1/2027,Bachelors,College of Education,Female,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493472,Radiologic Technology~General AA,Radiologic Technology,5/1/2026,Bachelors,Missoula College,Male,Asian/Asian American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493479,Communication Studies,NA,5/1/2025,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493481,Public Health,NA,5/1/2027,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493483,Communication Studies,NA,5/10/2024,Bachelors,College Humanities & Sciences,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493486,Psychology,NA,5/1/2029,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493489,General Studies,NA,5/13/2024,Bachelors,NA,NA,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493507,tDPT Bachelors,NA,5/1/2029,Bachelors,College of Health,Female,Asian/Asian American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493549,Management & Entrepreneurship,NA,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493563,tDPT Masters,NA,5/1/2029,Bachelors,College of Health,Male,Asian/Asian American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493577,tDPT Masters,NA,5/1/2029,Bachelors,College of Health,Male,Asian/Asian American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493610,Wildlife Biology,NA,5/1/2025,Associates,College of Forestry & Conserv,Male,Latino(a),22-Dec,12/1/2023,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,"California State University, Fresno",Bachelors,Ag Business,NA,NA,NA,NA,NA,NA,No opinion,None of the above,NA,NA,0,0
4493611,Commun Sci & Disorders,NA,5/12/2023,Bachelors,College of Health,Female,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,GREAT FALLS COLLEGE - MONTANA STATE UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493613,Pharmacy~Biochemistry,Pharmacy,5/1/2026,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493614,Commun Sci & Disorders,NA,5/10/2024,Bachelors,College of Health,Female,Native Hawaiian/Pacific Islander,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493619,General AA,NA,5/13/2022,Certificate,Missoula College,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493621,Biology,NA,5/1/2025,Bachelors,College Humanities & Sciences,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493624,Business Administration,NA,6/13/2024,Associates,College of Business,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493625,General AA,NA,5/1/2026,Bachelors,Missoula College,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493633,Mathematics,NA,5/1/2029,Bachelors,College Humanities & Sciences,Male,Latino(a),22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MARYVILLE UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493636,Speech Language Pathology Asst,NA,5/1/2026,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493645,tDPT Masters,NA,5/1/2029,Doctorate,College of Health,Female,NA,22-Dec,12/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Andrews University,Doctorate,DScPT in Women's Health speciality,NA,NA,NA,NA,NA,NA,No opinion,"Study abroad or study away program, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Study abroad or study away program, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",2,1
4493647,General AS,NA,5/1/2025,Bachelors,Missoula College,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493648,Public Health,NA,5/1/2027,Bachelors,College of Health,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,CARROLL COLLEGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5355001,Commun Sci & Disorders~Global Leadership,Commun Sci & Disorders,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,University of Montanaâ€š Missoula,Masters,Speech language pathology,NA,NA,NA,NA,NA,NA,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteerism), Work with a faculty member on a research project, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",8,1
5355018,Mathematics~Secondary Certification,Mathematics,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5355023,Commun Sci & Disorders,NA,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Idaho State University,Masters,Speech,NA,NA,NA,NA,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Work with a faculty member on a research project",5,1
5355027,Sustainable Construction Tech~Carpentry,Sustainable Construction Tech,5/1/2025,Bachelors,Missoula College,Male,White/Caucasian,23-May,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5355038,Journalism,NA,12/14/2018,Associates,College of the Arts and Media,Male,Latino(a),23-May,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5355047,History,NA,12/14/2018,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
